"","Em","Fu","Un"
"2021-07-01",32608203.1216954,9.58117565569995e-12,1718402.87830465
"2021-07-02",32611999.9669143,8.23722838383745e-12,1714606.03308574
"2021-07-03",32615757.471617,7.08179600142614e-12,1710848.52838301
"2021-07-04",32619476.0434252,6.08843560829513e-12,1707129.95657483
"2021-07-05",32623156.0857369,5.23441343818588e-12,1703449.91426311
"2021-07-06",32626797.9977705,4.50018458017875e-12,1699808.00222949
"2021-07-07",32630402.1746079,3.86894567936486e-12,1696203.82539207
"2021-07-08",32633969.0072375,3.32625037999695e-12,1692636.99276254
"2021-07-09",32637498.8825962,2.85967871025942e-12,1689107.11740376
"2021-07-10",32640992.1836122,2.45855284229039e-12,1685613.81638781
"2021-07-11",32644449.2892456,2.11369272241979e-12,1682156.71075439
"2021-07-12",32647870.5745302,1.8172059790459e-12,1678735.42546978
"2021-07-13",32651256.4106139,1.56230730004109e-12,1675349.5893861
"2021-07-14",32654607.1647989,1.34316314600901e-12,1671998.8352011
"2021-07-15",32657923.2005818,1.15475824554451e-12,1668682.79941825
"2021-07-16",32661204.8776927,9.92780817144373e-13,1665401.12230736
"2021-07-17",32664452.5521345,8.53523890989925e-13,1662153.44786554
"2021-07-18",32667666.5762214,7.33800472279513e-13,1658939.42377857
"2021-07-19",32670847.2986173,6.30870604562834e-13,1655758.70138269
"2021-07-20",32673995.0643732,5.42378663869098e-13,1652610.93562677
"2021-07-21",32677110.2149651,4.66299448560103e-13,1649495.78503489
"2021-07-22",32680193.0883307,4.00891831135772e-13,1646412.91166929
"2021-07-23",32683244.0189063,3.44658911280435e-13,1643361.98109369
"2021-07-24",32686263.337663,2.96313758223683e-13,1640342.66233705
"2021-07-25",32689251.3721424,2.54749958405116e-13,1637354.62785764
"2021-07-26",32692208.4464925,2.19016294405128e-13,1634397.55350749
"2021-07-27",32695134.8815027,1.8829497565088e-13,1631471.11849727
"2021-07-28",32698030.9946386,1.61882922691505e-13,1628575.00536145
"2021-07-29",32700897.1000761,1.39175676719771e-13,1625708.8999239
"2021-07-30",32703733.5087362,1.19653566098004e-13,1622872.49126376
"2021-07-31",32706540.5283183,1.02869813299321e-13,1620065.47168175
"2021-08-01",32709318.4633332,8.84403100829403e-14,1617287.53666677
"2021-08-02",32712067.6151371,7.6034826901142e-14,1614538.38486289
"2021-08-03",32714788.2819634,6.53694553588162e-14,1611817.7180366
"2021-08-04",32717480.7589555,5.62001107658744e-14,1609125.24104454
"2021-08-05",32720145.3381986,4.8316946083758e-14,1606460.66180141
"2021-08-06",32722782.3087517,4.15395494252004e-14,1603823.69124834
"2021-08-07",32725391.9566785,3.57128151985731e-14,1601214.04332148
"2021-08-08",32727974.565079,3.07033944049883e-14,1598631.43492101
"2021-08-09",32730530.4141196,2.63966428506575e-14,1596075.58588041
"2021-08-10",32733059.781064,2.26939974321524e-14,1593546.21893605
